"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"Lrp8"	0.93861644574814	1.41381188411303	14.4449720729019	0.000144314600001661	0.00797178524964929
"Snai3"	0.938063344414428	0.479997784056269	13.5962860869119	0.000226633448319385	0.0108401991142498
"Cacnb3"	0.922654749482354	1.86357528017528	9.28389163858137	0.00231177758580457	0.0498449592075721
"Flt3"	0.909477190892238	1.45087584877792	10.4619482439361	0.00121858691600245	0.0333055489880348
"Cd28"	0.904069644020897	3.18040835069079	11.1021647527669	0.000862270108420217	0.0265792099593037
"Lztfl1"	0.891161478306622	5.28314615510046	36.1972495597313	1.78322053875603e-09	9.2757188357626e-07
"Ahr"	0.884794353128167	4.67467643212192	79.8196564080233	4.10191592394528e-19	5.12083183945329e-15
"Cenpv"	0.878709245583839	1.06371693197514	14.0261394198228	0.000180286899303768	0.00941716171928136
"Lag3"	0.873988016544746	1.45411141623392	16.7587247098766	4.24466354292684e-05	0.00321153816181204
"Adssl1"	0.86718164277714	1.88342549594049	20.8931083536986	4.85638677404886e-06	0.000580131637287895
"Akap1"	0.863794663755529	1.67177182757889	21.2495599172759	4.03202933657799e-06	0.000513631165692241
"Serpinb9"	0.84391653686662	2.47765789599949	15.0960062570405	0.000102179232506317	0.00633535908363544
"Hic1"	0.831437915015025	0.920135756470575	9.63302019759563	0.00191110092918848	0.0443075223410349
"Actn1"	0.830691854012399	5.09634136827421	21.1370660565092	4.27577284196484e-06	0.000533787481590891
"Nr4a2"	0.824559476251359	0.608907112774577	10.2944850945241	0.00133428380432805	0.0352906758754903
"Gsto1"	0.811522740872406	3.03248556715934	37.7933708349615	7.86485798644657e-10	4.46294941376359e-07
"Ppt2"	0.803873912782221	0.748790743722146	9.81600731273878	0.00172999497756321	0.0416739896855901
"Myb"	0.785901612394339	4.58088789267133	13.5331006101839	0.000234392481797532	0.0110358217715728
"Fam72a"	0.776576859381578	0.817006488977104	10.7323573468919	0.00105278242943584	0.0300061356121389
